service,month,year,calls_handled,average_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Business Information Referral queues (English + French),Mar,2017,"5,268",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Apr,2017,"4,026",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),May,2017,"4,926",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jun,2017,"5,089",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jul,2017,"4,425",0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Aug,2017,"4,840",0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Sep,2017,"4,300",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Oct,2017,"4,586",0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Nov,2017,"5,040",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Dec,2017,"4,008",0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jan,2018,"4,988",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Feb,2018,"4,661",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Mar,2018,"4,967",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Apr,2018,"4,321",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),May,2018,"5,172",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jun,2018,"4,610",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jul,2018,"4,780",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Aug,2018,"5,145",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Sep,2018,"4,242",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Oct,2018,"5,238",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Nov,2018,"4,937",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Dec,2018,"4,361",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jan,2019,"5,715",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Feb,2019,"4,886",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Mar,2019,"5,203",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Apr,2019,"4,926",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),May,2019,"5,431",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jun,2019,"4,612",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Jul,2019,"4,656",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Aug,2019,"4,412",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Information Referral queues (English + French),Sep,2019,"4,165",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive Feedback Mechanism queues (English + French),Jul,2019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive Feedback Mechanism queues (English + French),Aug,2019,9,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive Feedback Mechanism queues (English + French),Sep,2019,10,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jan,2016,"10,581",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Feb,2016,"10,451",0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Mar,2016,"10,801",1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Apr,2016,"11,294",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),May,2016,"10,874",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jun,2016,"10,601",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jul,2016,"8,893",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Aug,2016,"10,203",0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Sep,2016,"10,076",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Oct,2016,"9,560",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Nov,2016,"10,279",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Dec,2016,"8,465",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jan,2017,"11,406",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Feb,2017,"10,079",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Mar,2017,"12,389",0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Apr,2017,"9,540",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),May,2017,"11,415",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jun,2017,"11,054",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jul,2017,"9,879",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Aug,2017,"10,475",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Sep,2017,"9,608",0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Oct,2017,"10,225",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Nov,2017,"10,506",0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Dec,2017,"7,871",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jan,2018,"10,967",0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Feb,2018,"9,906",0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Mar,2018,"11,395",1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Apr,2018,"9,167",1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),May,2018,"11,032",0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jun,2018,"10,479",0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jul,2018,"9,697",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Aug,2018,"10,692",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Sep,2018,"8,947",0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Oct,2018,"10,422",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Nov,2018,"10,433",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Dec,2018,"8,109",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jan,2019,"12,032",0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Feb,2019,"9,677",0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Mar,2019,"10,795",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Apr,2019,"10,754",1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),May,2019,"12,187",1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jun,2019,"10,085",0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Jul,2019,"9,871",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Aug,2019,"9,396",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business and Corporation queues (English + French),Sep,2019,"9,016",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jan,2016,"70,660",1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
