service,month,year,calls_handled,average_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ministry of Labour queues (English + French),Jul,2018,"21,470",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Aug,2018,"20,789",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Sep,2018,"17,841",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Oct,2018,"20,089",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Nov,2018,"18,809",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Dec,2018,"15,131",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Jan,2019,"21,484",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Feb,2019,"16,608",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Mar,2019,"17,085",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Apr,2019,"15,707",0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),May,2019,"17,588",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Jun,2019,"14,907",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Jul,2019,"16,410",1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Aug,2019,"14,979",2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Labour queues (English + French),Sep,2019,"15,084",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2016,898,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2016,862,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2016,915,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2016,932,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2016,"1,070",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2016,"1,094",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2016,945,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2016,"1,029",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2016,"1,041",0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2016,984,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2016,984,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2016,799,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2017,878,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2017,875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2017,996,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2017,848,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2017,995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2017,"1,137",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2017,951,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2017,988,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2017,964,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2017,861,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2017,951,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2017,662,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2018,823,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2018,807,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2018,822,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2018,821,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2018,973,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2018,891,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2018,"1,044",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2018,"1,017",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2018,722,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2018,938,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2018,"1,063",0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2018,698,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2019,826,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2019,781,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2019,884,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2019,839,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2019,"1,031",1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2019,916,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2019,"1,004",1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2019,"1,089",1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2019,911,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2016,"6,049",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2016,"6,643",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2016,"6,425",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2016,"6,711",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2016,"6,949",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2016,"7,527",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2016,"6,896",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2016,"6,994",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2016,"7,249",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2016,"7,765",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2016,"8,364",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2016,"7,859",0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2017,"8,546",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2017,"7,105",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2017,"8,999",2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2017,"7,019",0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2017,"7,504",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2017,"6,627",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2017,"6,076",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2017,"5,919",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2017,"5,003",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2017,"5,410",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2017,"5,528",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2017,"4,921",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2018,"5,535",0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2018,"4,440",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2018,"5,473",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2018,"5,479",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2018,"7,341",0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2018,"6,691",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2018,"7,087",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2018,"8,363",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2018,"8,703",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2018,"9,346",1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2018,"8,097",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2018,"6,967",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2019,"9,842",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2019,"8,089",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2019,"7,576",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2019,"6,806",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2019,"6,957",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2019,"5,334",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2019,"5,907",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2019,"5,201",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2019,"5,117",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2016,"3,591",0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2016,"3,399",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2016,"3,571",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2016,"3,483",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2016,"3,196",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2016,"2,997",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2016,"2,497",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2016,"2,862",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2016,"3,056",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2016,"2,914",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2016,"2,717",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2016,"1,689",1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2017,"2,792",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2017,"2,386",1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2017,"2,931",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2017,"2,125",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2017,"2,421",1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2017,"2,351",1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2017,"2,205",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2017,"2,515",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2017,"2,330",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2017,"2,334",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2017,"2,110",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2017,"1,476",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2018,"2,589",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2018,"2,249",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2018,"2,483",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2018,"2,346",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2018,"2,590",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2018,"2,330",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2018,"2,286",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2018,"2,138",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2018,"1,847",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2018,"2,104",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2018,"1,700",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2018,"1,239",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2019,"2,139",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2019,"1,599",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2019,"1,844",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2019,"1,988",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2019,"1,586",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2019,"1,349",2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2019,"1,190",7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2019,"1,794",2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2019,"1,904",2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2016,"33,164",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2016,"31,922",1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2016,"32,695",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2016,"33,579",1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2016,"30,691",1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2016,"30,951",0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2016,"30,582",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2016,"32,514",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2016,"29,438",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2016,"28,797",0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2016,"31,185",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2016,"25,231",0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2017,"33,425",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2017,"29,557",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2017,"33,985",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2017,"27,222",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2017,"32,715",1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2017,"31,230",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2017,"32,281",1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2017,"35,699",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2017,"31,620",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2017,"33,560",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2017,"33,651",1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2017,"26,811",0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2018,"36,661",0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2018,"30,147",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2018,"31,928",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2018,"27,910",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2018,"32,421",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2018,"31,485",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2018,"33,692",1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2018,"36,699",3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2018,"31,650",4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Oct,2018,"35,293",6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Nov,2018,"34,196",7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Dec,2018,"28,906",6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jan,2019,"38,037",8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Feb,2019,"34,155",6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Mar,2019,"36,408",3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Apr,2019,"32,314",1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),May,2019,"32,028",1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jun,2019,"28,046",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Jul,2019,"32,490",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Aug,2019,"30,908",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Registrations and Certificates Services queues (English + French),Sep,2019,"30,356",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2016,"12,172",0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2016,"10,748",1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Mar,2016,"10,519",2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2016,"11,730",1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),May,2016,"12,145",0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jun,2016,"12,251",0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jul,2016,"11,284",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Aug,2016,"12,858",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Sep,2016,"12,999",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Oct,2016,"12,421",0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Nov,2016,"12,008",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Dec,2016,"10,359",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2017,"12,230",0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2017,"11,075",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Mar,2017,"13,331",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Apr,2017,"10,614",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),May,2017,"12,744",1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jun,2017,"11,819",1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jul,2017,"11,574",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Aug,2017,"14,891",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Sep,2017,"14,595",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Oct,2017,"12,542",1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Nov,2017,"11,189",0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Dec,2017,"8,878",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Jan,2018,"11,380",0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Inquiry queues (English + French),Feb,2018,"9,777",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
